player,position,league,usual_category,n_injuries,age,median_days,worst_days,severe_rate
aaron ciammaglichella,Central Midfield,Serie A,muscular,3,20,23.0,74.0,0.3333333333333333
aaron connolly,Forward,Premier League,muscular,4,23,19.0,88.0,0.25
aaron cresswell,Left-Back,Premier League,muscular,3,35,7.0,11.0,0.0
aaron hickey,Right-Back,Serie A,illness,7,23,66.0,474.0,0.5714285714285714
aaron ramsdale,Goalkeeper,Premier League,muscular,4,27,23.5,40.0,0.5
aaron ramsey,Central Midfield,Serie A,muscular,10,31,18.0,405.0,0.2
aaron seydel,Forward,Bundesliga,illness,2,28,32.5,60.0,0.5
aaron wan-bissaka,Right-Back,Premier League,back,4,26,27.0,45.0,0.5
aarón anselmino,Centre-Back,Premier League,muscular,2,20,60.0,82.0,1.0
aarón escandell,Goalkeeper,La Liga,illness,1,25,15.0,15.0,0.0
aarón martín,Left-Back,Serie A,muscular,1,27,28.0,28.0,1.0
abakar sylla,Centre-Back,Ligue 1,other,3,22,16.0,36.0,0.3333333333333333
abdallah sima,Left Winger,Premier League,muscular,9,24,25.0,99.0,0.4444444444444444
abde ezzalzouli,Left Winger,La Liga,muscular,4,23,13.0,23.0,0.0
abde rebbach,Left Winger,La Liga,other,1,25,4.0,4.0,0.0
abdel abqar,Centre-Back,La Liga,ankle_foot,3,26,53.0,82.0,0.6666666666666666
abdelhamid ait boudlal,Centre-Back,Ligue 1,muscular,1,19,13.0,13.0,0.0
abdelhamid sabiri,Attacking Midfield,Serie A,muscular,2,26,14.0,20.0,0.0
abdenego nankishi,Left Winger,Bundesliga,ankle_foot,2,23,16.0,24.0,0.0
abdou diallo,Centre-Back,Ligue 1,knee,8,27,13.5,66.0,0.25
abdou harroui,Central Midfield,Serie A,ankle_foot,5,27,62.0,169.0,0.8
abdoul kader bamba,Right Winger,Ligue 1,muscular,2,29,23.0,27.0,0.0
abdoul koné,Centre-Back,Ligue 1,muscular,2,20,46.0,46.0,1.0
abdoul ouattara,Right Winger,Ligue 1,muscular,2,20,24.5,33.0,0.5
abdoulay diaby,Right Winger,La Liga,back,1,30,20.0,20.0,0.0
abdoulaye doucouré,Attacking Midfield,Premier League,muscular,4,31,47.5,65.0,0.75
abdoulaye kamara,Defensive Midfield,Bundesliga,knee,8,19,53.5,96.0,0.75
abdoulaye touré,Defensive Midfield,Ligue 1,fracture,2,31,36.5,37.0,1.0
abdourahmane barry,Centre-Back,Bundesliga,bruise,1,22,6.0,6.0,0.0
abdul mumin,Centre-Back,La Liga,knee,1,27,215.0,215.0,1.0
abdul rahman baba,Left-Back,Premier League,muscular,3,28,18.0,41.0,0.3333333333333333
abel ruiz,Forward,La Liga,other,1,25,38.0,38.0,1.0
ablie jallow,Right Midfield,Ligue 1,knee,2,25,48.5,49.0,1.0
abner,Left-Back,La Liga,ankle_foot,1,24,22.0,22.0,0.0
aboubakar kamara,Forward,Ligue 1,other,2,26,11.0,11.0,0.0
achraf dari,Centre-Back,Ligue 1,ankle_foot,6,26,13.5,39.0,0.3333333333333333
achraf hakimi,Right-Back,Ligue 1,muscular,4,24,8.5,20.0,0.0
adam abeddou,Attacking Midfield,Ligue 1,muscular,1,27,15.0,15.0,0.0
adam buksa,Forward,Ligue 1,ankle_foot,2,26,124.0,161.0,1.0
adam dzwigala,Centre-Back,Bundesliga,muscular,1,30,11.0,11.0,0.0
adam forshaw,Central Midfield,Premier League,knee,1,30,70.0,70.0,1.0
adam hlozek,Second Striker,Bundesliga,ankle_foot,3,23,23.0,51.0,0.3333333333333333
adam idah,Forward,Premier League,knee,1,21,196.0,196.0,1.0
adam lallana,Attacking Midfield,Premier League,muscular,9,37,21.0,83.0,0.2222222222222222
adam mabrouk,Defensive Midfield,Ligue 1,other,1,21,99.0,99.0,1.0
adam marusic,Right-Back,Serie A,ankle_foot,7,33,8.0,36.0,0.14285714285714285
adam masina,Centre-Back,Serie A,other,5,31,70.0,164.0,0.6
adam obert,Centre-Back,Serie A,ankle_foot,3,23,13.0,16.0,0.0
adam ounas,Right Winger,Serie A,muscular,12,26,8.5,49.0,0.25
adam smith,Right-Back,Premier League,muscular,2,34,48.5,64.0,1.0
adam webster,Centre-Back,Premier League,muscular,8,30,29.0,81.0,0.5
adam wharton,Defensive Midfield,Premier League,ankle_foot,2,21,50.0,93.0,0.5
adama soumaoro,Centre-Back,Serie A,other,3,31,22.0,382.0,0.3333333333333333
adama traoré,Right Winger,Premier League,muscular,6,29,18.5,82.0,0.3333333333333333
adel mahamoud,Left Winger,Ligue 1,knee,1,22,182.0,182.0,1.0
ademola lookman,Second Striker,Serie A,other,5,28,15.0,36.0,0.2
adil aouchiche,Attacking Midfield,Ligue 1,other,4,20,14.5,29.0,0.25
adil rami,Centre-Back,Ligue 1,other,1,36,46.0,46.0,1.0
admir mehmedi,Second Striker,Bundesliga,muscular,4,31,29.5,77.0,0.5
admiral muskwe,Forward,Premier League,muscular,2,25,107.5,187.0,1.0
adnan januzaj,Right Winger,La Liga,muscular,4,30,24.0,48.0,0.25
adolfo gaich,Forward,Serie A,illness,2,24,4.0,5.0,0.0
adrian beck,Attacking Midfield,Bundesliga,ankle_foot,2,27,24.5,29.0,0.5
adrian benedyczak,Left Winger,Serie A,ankle_foot,3,24,112.0,181.0,0.6666666666666666
adrian fein,Central Midfield,Bundesliga,illness,3,23,22.0,45.0,0.3333333333333333
adrien lebeau,Attacking Midfield,Ligue 1,other,3,22,30.0,38.0,0.6666666666666666
adrien louveau,Defensive Midfield,Ligue 1,knee,2,23,132.5,254.0,0.5
adrien rabiot,Central Midfield,Serie A,muscular,12,29,7.0,21.0,0.0
adrien silva,Central Midfield,Serie A,knee,1,32,11.0,11.0,0.0
adrien tamèze,Defensive Midfield,Serie A,muscular,4,31,16.5,27.0,0.0
adrien thomasson,Attacking Midfield,Ligue 1,muscular,3,29,21.0,46.0,0.3333333333333333
adrien truffert,Left-Back,Ligue 1,ankle_foot,2,21,51.5,88.0,0.5
adrià pedrosa,Left-Back,La Liga,muscular,4,27,22.0,259.0,0.25
adrián,Goalkeeper,Premier League,muscular,1,35,31.0,31.0,1.0
adrián bernabé,Central Midfield,Serie A,muscular,5,24,23.0,86.0,0.4
adrián lópez,Forward,La Liga,muscular,1,33,29.0,29.0,1.0
adrián rodríguez,Goalkeeper,La Liga,knee,1,23,57.0,57.0,1.0
adryelson,Centre-Back,Ligue 1,ankle_foot,2,27,13.5,21.0,0.0
adu ares,Right Winger,La Liga,knee,2,22,6.0,8.0,0.0
afimico pululu,Forward,Bundesliga,illness,1,23,12.0,12.0,0.0
agustín marchesín,Goalkeeper,La Liga,ankle_foot,2,36,115.0,197.0,1.0
agustín rogel,Centre-Back,Bundesliga,knee,1,25,23.0,23.0,0.0
agustín álvarez,Forward,Serie A,knee,1,22,219.0,219.0,1.0
ahmed el mohamady,Right-Back,Premier League,muscular,1,33,55.0,55.0,1.0
ahmed hassan,Forward,Ligue 1,muscular,1,32,12.0,12.0,0.0
ahmed kutucu,Left Winger,Bundesliga,illness,2,21,14.5,21.0,0.0
aihen muñoz,Left-Back,La Liga,knee,2,26,133.0,209.0,1.0
aimar duñabeitia,Centre-Back,La Liga,muscular,1,22,44.0,44.0,1.0
aimar oroz,Attacking Midfield,La Liga,ankle_foot,4,22,22.0,29.0,0.25
aimar sher,Central Midfield,Serie A,upper_body,1,19,47.0,47.0,1.0
aingeru olabarrieta,Right Winger,La Liga,knee,1,19,37.0,37.0,1.0
aitor paredes,Centre-Back,La Liga,muscular,4,25,13.0,32.0,0.25
aitor ruibal,Right Winger,La Liga,ankle_foot,4,29,23.5,36.0,0.25
aiyegun tosin,Forward,Ligue 1,other,1,26,37.0,37.0,1.0
ajdin hrustic,Attacking Midfield,Bundesliga,ankle_foot,4,26,13.5,132.0,0.25
akaki gogia,Left Winger,Bundesliga,other,1,29,82.0,82.0,1.0
akor adams,Forward,Ligue 1,muscular,7,25,34.0,88.0,0.5714285714285714
alaa bellaarouch,Goalkeeper,Ligue 1,other,1,23,174.0,174.0,1.0
alan empereur,Centre-Back,Serie A,illness,2,27,19.5,30.0,0.5
alan matturro,Centre-Back,Serie A,upper_body,6,21,30.5,86.0,0.5
alassane pléa,Forward,Bundesliga,illness,8,32,11.5,61.0,0.125
alban lafont,Goalkeeper,Ligue 1,muscular,2,25,25.0,38.0,0.5
albert grønbæk,Attacking Midfield,Ligue 1,other,2,24,35.0,35.0,1.0
albert gudmundsson,Second Striker,Serie A,muscular,6,28,13.5,42.0,0.16666666666666666
albert sambi lokonga,Central Midfield,Premier League,muscular,9,26,28.0,70.0,0.5555555555555556
alberto cerri,Forward,Serie A,head,2,28,48.0,57.0,1.0
alberto collado,Central Midfield,La Liga,muscular,1,20,47.0,47.0,1.0
alberto dossena,Centre-Back,Serie A,knee,2,27,119.0,233.0,0.5
alberto grassi,Defensive Midfield,Serie A,ankle_foot,4,30,39.5,49.0,0.75
alberto marí,Forward,La Liga,muscular,1,22,120.0,120.0,1.0
alberto moleiro,Left Winger,La Liga,muscular,1,20,39.0,39.0,1.0
alberto moreno,Left-Back,Serie A,knee,5,33,24.0,195.0,0.4
alberto paleari,Goalkeeper,Serie A,muscular,1,28,36.0,36.0,1.0
alberto perea,Left Winger,La Liga,muscular,1,33,37.0,37.0,1.0
alberto soro,Right Winger,La Liga,illness,3,23,15.0,64.0,0.3333333333333333
albin ekdal,Defensive Midfield,Serie A,other,5,33,16.0,44.0,0.4
aleix garrido,Central Midfield,La Liga,ankle_foot,4,20,62.0,98.0,0.75
alejandro balde,Left-Back,La Liga,other,6,22,42.5,182.0,0.6666666666666666
alejandro francés,Centre-Back,La Liga,muscular,1,23,23.0,23.0,0.0
alejandro garnacho,Left Winger,Premier League,ankle_foot,1,18,54.0,54.0,1.0
alejandro grimaldo,Left-Back,Bundesliga,other,1,28,2.0,2.0,0.0
alejandro marqués,Forward,Serie A,muscular,1,20,60.0,60.0,1.0
alejandro pérez,Centre-Back,La Liga,knee,1,21,185.0,185.0,1.0
alejo veliz,Forward,La Liga,knee,2,20,37.0,37.0,1.0
aleksa terzic,Left-Back,Serie A,muscular,1,23,32.0,32.0,1.0
aleksandar kolarov,Left-Back,Serie A,muscular,6,36,15.5,41.0,0.3333333333333333
aleksandar mitrović,Forward,Premier League,ankle_foot,8,29,14.0,29.0,0.125
aleksandar pavlovic,Defensive Midfield,Bundesliga,other,7,21,16.0,44.0,0.2857142857142857
aleksandar radovanovic,Centre-Back,La Liga,bruise,2,30,21.5,34.0,0.5
aleksandar sedlar,Centre-Back,La Liga,knee,1,32,238.0,238.0,1.0
aleksander buksa,Forward,Serie A,bruise,1,19,11.0,11.0,0.0
aleksandr golovin,Attacking Midfield,Ligue 1,muscular,14,29,11.5,90.0,0.35714285714285715
aleksandr kokorin,Second Striker,Serie A,muscular,7,31,24.0,59.0,0.42857142857142855
aleksey miranchuk,Attacking Midfield,Serie A,muscular,7,27,18.0,41.0,0.14285714285714285
ales mateju,Centre-Back,Serie A,illness,1,26,8.0,8.0,0.0
alessandro bastoni,Centre-Back,Serie A,muscular,11,25,7.0,20.0,0.0
alessandro berardi,Goalkeeper,Serie A,upper_body,4,34,29.0,78.0,0.5
alessandro bianco,Central Midfield,Serie A,head,1,20,3.0,3.0,0.0
alessandro buongiorno,Centre-Back,Serie A,muscular,9,26,19.0,46.0,0.4444444444444444
alessandro circati,Centre-Back,Serie A,knee,1,22,196.0,196.0,1.0
alessandro deiola,Central Midfield,Serie A,ankle_foot,5,26,13.0,15.0,0.0
alessandro di pardo,Right-Back,Serie A,illness,3,24,23.0,40.0,0.3333333333333333
alessandro florenzi,Right-Back,Serie A,muscular,13,34,12.0,222.0,0.3076923076923077
alessandro gabrielloni,Forward,Serie A,muscular,1,31,36.0,36.0,1.0
alessandro marcandalli,Centre-Back,Serie A,muscular,2,23,29.0,29.0,1.0
alessandro pio riccio,Centre-Back,Serie A,muscular,3,21,21.0,62.0,0.3333333333333333
alessandro plizzari,Goalkeeper,Serie A,knee,2,22,64.0,115.0,0.5
alessandro russo,Central Midfield,Serie A,muscular,1,18,13.0,13.0,0.0
alessandro schöpf,Central Midfield,Bundesliga,muscular,2,27,16.0,18.0,0.0
alessandro sersanti,Central Midfield,Serie A,other,1,21,33.0,33.0,1.0
alessandro tripaldelli,Left-Back,Serie A,muscular,2,22,14.0,17.0,0.0
alessandro tuia,Centre-Back,Serie A,muscular,1,33,18.0,18.0,0.0
alessandro vogliacco,Centre-Back,Serie A,muscular,5,27,23.0,43.0,0.2
alessandro zanoli,Right-Back,Serie A,illness,4,25,14.0,25.0,0.0
alessio cragno,Goalkeeper,Serie A,illness,4,28,12.0,25.0,0.0
alessio furlanetto,Goalkeeper,Serie A,ankle_foot,1,20,98.0,98.0,1.0
alessio romagnoli,Centre-Back,Serie A,muscular,13,30,12.0,42.0,0.07692307692307693
alex cochrane,Left-Back,Premier League,ankle_foot,1,21,116.0,116.0,1.0
alex cordaz,Goalkeeper,Serie A,illness,3,40,14.0,25.0,0.0
alex iwobi,Left Winger,Premier League,muscular,4,28,20.0,27.0,0.0
alex král,Central Midfield,Bundesliga,back,2,26,16.5,20.0,0.0
alex mccarthy,Goalkeeper,Premier League,illness,2,32,84.5,152.0,0.5
alex meret,Goalkeeper,Serie A,illness,9,28,13.0,44.0,0.2222222222222222
alex mighten,Left Winger,Premier League,bruise,1,22,25.0,25.0,0.0
alex oxlade-chamberlain,Central Midfield,Premier League,knee,2,29,104.0,114.0,1.0
alex sandro,Left-Back,Serie A,muscular,6,33,10.0,66.0,0.16666666666666666
alex scott,Central Midfield,Premier League,knee,2,22,92.0,115.0,1.0
alex telles,Left-Back,Premier League,illness,5,30,22.0,73.0,0.4
alexander djiku,Centre-Back,Ligue 1,muscular,3,28,9.0,32.0,0.3333333333333333
alexander hack,Centre-Back,Bundesliga,illness,1,28,19.0,19.0,0.0
alexander isak,Forward,Premier League,muscular,9,26,25.0,107.0,0.4444444444444444
alexander lungwitz,Left-Back,Bundesliga,muscular,1,20,6.0,6.0,0.0
alexander meyer,Goalkeeper,Bundesliga,other,1,34,5.0,5.0,0.0
alexander nübel,Goalkeeper,Bundesliga,other,6,28,9.5,43.0,0.16666666666666666
alexander prass,Left-Back,Bundesliga,ankle_foot,2,24,27.0,44.0,0.5
alexander rossipal,Left-Back,Ligue 1,other,3,26,7.0,42.0,0.3333333333333333
alexander schwolow,Goalkeeper,Bundesliga,illness,3,32,15.0,88.0,0.3333333333333333
alexander sørloth,Forward,La Liga,other,11,29,9.0,25.0,0.0
alexandre lacazette,Forward,Ligue 1,other,8,34,13.0,26.0,0.0
alexandre letellier,Goalkeeper,Ligue 1,muscular,8,33,16.5,30.0,0.125
alexandre olliero,Goalkeeper,Ligue 1,muscular,1,27,22.0,22.0,0.0
alexis beka beka,Defensive Midfield,Ligue 1,other,2,23,133.0,246.0,0.5
alexis blin,Defensive Midfield,Serie A,other,1,27,34.0,34.0,1.0
alexis claude-maurice,Attacking Midfield,Ligue 1,knee,4,25,47.0,131.0,1.0
alexis mac allister,Central Midfield,Premier League,back,4,26,29.5,79.0,0.5
alexis olmedo,Centre-Back,La Liga,muscular,1,19,65.0,65.0,1.0
alexis saelemaekers,Right Midfield,Serie A,ankle_foot,9,26,25.0,75.0,0.4444444444444444
alexis sánchez,Forward,Serie A,muscular,11,36,14.0,112.0,0.2727272727272727
alfie devine,Attacking Midfield,Premier League,muscular,2,21,36.0,46.0,0.5
alfie doughty,Left Midfield,Premier League,other,1,24,6.0,6.0,0.0
alfie mawson,Centre-Back,Premier League,knee,2,27,99.0,112.0,1.0
alfie whiteman,Goalkeeper,Premier League,ankle_foot,2,27,202.0,287.0,1.0
alfon gonzález,Left Winger,La Liga,muscular,1,26,20.0,20.0,0.0
alfonso espino,Left-Back,La Liga,other,4,33,10.0,90.0,0.25
alfonso pastor,Goalkeeper,La Liga,upper_body,1,20,27.0,27.0,0.0
alfonso pedraza,Left-Back,La Liga,ankle_foot,4,29,59.5,182.0,0.75
alfred duncan,Central Midfield,Serie A,other,8,32,15.0,81.0,0.125
alfred finnbogason,Forward,Bundesliga,muscular,10,33,21.0,67.0,0.4
alfred gomis,Goalkeeper,Ligue 1,other,5,28,29.0,57.0,0.6
alfredo donnarumma,Forward,Ligue 1,muscular,3,32,16.0,78.0,0.3333333333333333
ali abdi,Left-Back,Ligue 1,muscular,1,31,48.0,48.0,1.0
ali al-hamadi,Forward,Premier League,muscular,1,23,4.0,4.0,0.0
alidu seidu,Centre-Back,Ligue 1,knee,1,25,250.0,250.0,1.0
alieu njie,Left Winger,Serie A,muscular,3,20,22.0,159.0,0.3333333333333333
alireza jahanbakhsh,Right Winger,Premier League,ankle_foot,2,27,40.0,44.0,1.0
alisson,Goalkeeper,Premier League,muscular,12,33,13.5,63.0,0.25
aljoscha kemlein,Defensive Midfield,Bundesliga,ankle_foot,2,21,75.0,130.0,0.5
allan,Defensive Midfield,Premier League,muscular,2,30,37.0,59.0,0.5
allan campbell,Central Midfield,Premier League,ankle_foot,3,25,4.0,45.0,0.3333333333333333
allan nyom,Right-Back,La Liga,other,1,37,15.0,15.0,0.0
allan saint-maximin,Left Winger,Premier League,muscular,6,26,16.0,38.0,0.3333333333333333
ally samatta,Forward,Premier League,knee,2,28,19.5,35.0,0.5
almamy touré,Centre-Back,Bundesliga,other,7,27,15.0,82.0,0.42857142857142855
almugera kabar,Left-Back,Bundesliga,head,1,19,9.0,9.0,0.0
aloïs confais,Defensive Midfield,Ligue 1,back,1,27,63.0,63.0,1.0
alpha sissoko,Right-Back,Ligue 1,illness,1,25,8.0,8.0,0.0
alphonse areola,Goalkeeper,Premier League,muscular,1,31,19.0,19.0,0.0
alphonso davies,Left-Back,Bundesliga,muscular,14,25,17.0,221.0,0.35714285714285715
altay bayındır,Goalkeeper,Premier League,muscular,1,26,22.0,22.0,0.0
amad diallo,Right Winger,Premier League,ankle_foot,4,23,58.0,127.0,0.75
amadou diawara,Defensive Midfield,Serie A,other,3,23,24.0,30.0,0.3333333333333333
amadou haidara,Central Midfield,Bundesliga,ligament,5,27,49.0,55.0,0.6
amadou koné,Defensive Midfield,Ligue 1,other,1,20,27.0,27.0,0.0
amadou onana,Defensive Midfield,Premier League,muscular,6,24,15.0,36.0,0.3333333333333333
amar dedić,Right-Back,Ligue 1,muscular,2,23,11.5,19.0,0.0
amari'i bell,Centre-Back,Premier League,muscular,2,30,90.5,138.0,1.0
amario cozier-duberry,Right Winger,Premier League,ankle_foot,1,20,48.0,48.0,1.0
amath ndiaye,Right Winger,La Liga,muscular,3,27,37.0,42.0,1.0
ambroise oyongo,Left-Back,Ligue 1,knee,1,30,124.0,124.0,1.0
ameen al-dakhil,Centre-Back,Bundesliga,other,7,23,13.0,229.0,0.2857142857142857
amer gojak,Attacking Midfield,Serie A,illness,2,24,13.0,14.0,0.0
amil siljevic,Goalkeeper,Bundesliga,ankle_foot,1,18,50.0,50.0,1.0
amin sarr,Forward,Ligue 1,knee,3,23,49.0,49.0,0.6666666666666666
amin younes,Left Winger,Bundesliga,bruise,3,27,11.0,13.0,0.0
amine adli,Left Winger,Bundesliga,other,4,25,71.0,138.0,0.75
amine gouiri,Forward,Ligue 1,knee,6,25,18.0,24.0,0.0
amine harit,Attacking Midfield,Ligue 1,muscular,7,28,30.0,214.0,0.5714285714285714
amine salama,Forward,Ligue 1,muscular,3,25,166.0,166.0,1.0
amir abrashi,Defensive Midfield,Bundesliga,bruise,2,31,5.5,6.0,0.0
amir murillo,Right-Back,Ligue 1,muscular,5,29,23.0,81.0,0.4
amir richardson,Central Midfield,Serie A,muscular,1,23,21.0,21.0,0.0
amir rrahmani,Centre-Back,Serie A,muscular,11,30,5.0,72.0,0.09090909090909091
amos pieper,Centre-Back,Bundesliga,ankle_foot,11,27,19.0,99.0,0.45454545454545453
anaitz arbilla,Centre-Back,La Liga,muscular,1,34,12.0,12.0,0.0
anas haj mohamed,Right Winger,Serie A,ankle_foot,1,20,5.0,5.0,0.0
anass salah-eddine,Left-Back,Serie A,ankle_foot,1,23,5.0,5.0,0.0
anastasios donis,Left Winger,Ligue 1,muscular,3,25,29.0,60.0,0.6666666666666666
ander astralaga,Goalkeeper,La Liga,other,1,21,44.0,44.0,1.0
ander barrenetxea,Left Winger,La Liga,muscular,10,23,26.5,169.0,0.5
ander capa,Right-Back,La Liga,muscular,10,31,7.0,66.0,0.1
ander guevara,Central Midfield,La Liga,muscular,3,25,13.0,32.0,0.3333333333333333
ander herrera,Central Midfield,La Liga,muscular,14,36,24.0,55.0,0.35714285714285715
ander martín,Right Winger,La Liga,knee,1,22,31.0,31.0,1.0
anderson lucoqui,Left-Back,Bundesliga,head,2,25,29.0,46.0,0.5
andi zeqiri,Forward,Bundesliga,illness,4,23,9.5,12.0,0.0
andis shala,Forward,Ligue 1,back,1,32,53.0,53.0,1.0
andoni gorosabel,Right-Back,La Liga,ankle_foot,3,26,26.0,38.0,0.3333333333333333
andrea belotti,Forward,Serie A,muscular,13,30,7.0,77.0,0.15384615384615385
andrea cambiaso,Left Midfield,Serie A,muscular,8,25,13.5,70.0,0.25
andrea carboni,Centre-Back,Serie A,ankle_foot,9,24,11.0,46.0,0.4444444444444444
andrea colpani,Attacking Midfield,Serie A,ankle_foot,3,26,18.0,73.0,0.3333333333333333
andrea consigli,Goalkeeper,Serie A,illness,2,36,12.5,19.0,0.0
andrea conti,Right-Back,Serie A,other,8,29,13.0,231.0,0.25
andrea danzi,Defensive Midfield,Serie A,muscular,1,22,56.0,56.0,1.0
andrea favilli,Forward,Serie A,muscular,6,26,30.5,77.0,0.6666666666666666
andrea masiello,Centre-Back,Serie A,muscular,1,35,8.0,8.0,0.0
andrea petagna,Forward,Serie A,muscular,9,30,33.0,58.0,0.6666666666666666
andrea pinamonti,Forward,Serie A,other,6,24,36.0,62.0,0.6666666666666666
andrea poli,Central Midfield,Serie A,fracture,2,31,30.0,52.0,0.5
andrea ranocchia,Centre-Back,Serie A,fracture,3,35,15.0,32.0,0.3333333333333333
andrea schiavone,Defensive Midfield,Serie A,muscular,2,29,41.5,77.0,0.5
andreas christensen,Centre-Back,La Liga,ankle_foot,12,29,17.5,149.0,0.3333333333333333
andreas cornelius,Forward,Serie A,muscular,3,28,22.0,22.0,0.0
andreas hanche-olsen,Centre-Back,Bundesliga,ankle_foot,6,28,25.0,141.0,0.5
andreas ivan,Left Winger,Bundesliga,muscular,1,28,166.0,166.0,1.0
andreas jungdal,Goalkeeper,Serie A,muscular,1,21,36.0,36.0,1.0
andreas luthe,Goalkeeper,Bundesliga,other,4,35,7.5,23.0,0.0
andreas pereira,Attacking Midfield,Serie A,illness,3,27,11.0,30.0,0.3333333333333333
andreas poulsen,Left-Back,Bundesliga,muscular,2,21,68.5,117.0,0.5
andreas skov olsen,Right Winger,Bundesliga,illness,3,25,3.0,5.0,0.0
andreas voglsammer,Forward,Bundesliga,ankle_foot,3,30,48.0,92.0,0.6666666666666666
andreaw gravillon,Centre-Back,Ligue 1,muscular,4,25,46.0,71.0,0.75
andrei rațiu,Right-Back,La Liga,muscular,1,27,10.0,10.0,0.0
andrej ilic,Forward,Ligue 1,ankle_foot,5,25,50.0,60.0,0.6
andrej kramaric,Attacking Midfield,Bundesliga,ankle_foot,11,34,11.0,34.0,0.09090909090909091
andrew omobamidele,Centre-Back,Ligue 1,ankle_foot,2,23,47.0,47.0,1.0
andrew robertson,Left-Back,Premier League,other,6,30,7.0,103.0,0.3333333333333333
andrey galabinov,Forward,Serie A,other,1,32,104.0,104.0,1.0
andrey lunev,Goalkeeper,Bundesliga,back,3,31,88.0,118.0,1.0
andriy lunin,Goalkeeper,La Liga,illness,8,26,10.0,13.0,0.0
andriy yarmolenko,Right Winger,Premier League,illness,3,31,22.0,34.0,0.3333333333333333
andros townsend,Right Winger,Premier League,ankle_foot,2,30,219.0,414.0,0.5
andrás schäfer,Central Midfield,Bundesliga,bruise,4,25,16.5,143.0,0.25
andré almeida,Attacking Midfield,La Liga,muscular,1,24,141.0,141.0,1.0
andré anderson,Attacking Midfield,Serie A,illness,1,22,9.0,9.0,0.0
andré gomes,Central Midfield,Premier League,other,5,32,26.0,113.0,0.4
andré hahn,Right Winger,Bundesliga,illness,4,32,25.5,484.0,0.5
andré silva,Forward,Bundesliga,muscular,7,29,17.0,116.0,0.2857142857142857
andrés andrade,Centre-Back,Bundesliga,ligament,1,23,15.0,15.0,0.0
andrés guardado,Central Midfield,La Liga,illness,1,34,12.0,12.0,0.0
andrés gómez,Right Winger,Ligue 1,ankle_foot,2,23,25.5,29.0,0.5
andy carroll,Forward,Premier League,muscular,1,32,20.0,20.0,0.0
andy delort,Forward,Ligue 1,muscular,3,29,15.0,37.0,0.3333333333333333
andy lonergan,Goalkeeper,Premier League,knee,1,39,221.0,221.0,1.0
ange loïc n'gatta,Right-Back,Ligue 1,muscular,2,21,52.0,57.0,1.0
ange n'guessan,Centre-Back,Serie A,muscular,1,20,102.0,102.0,1.0
ange-yoan bonny,Forward,Serie A,illness,1,22,4.0,4.0,0.0
angel gomes,Attacking Midfield,Ligue 1,muscular,4,25,28.5,37.0,0.5
angeliño,Left-Back,Bundesliga,muscular,3,25,19.0,41.0,0.3333333333333333
angelo fulgini,Attacking Midfield,Ligue 1,other,4,25,16.5,22.0,0.0
angelo ogbonna,Centre-Back,Premier League,ankle_foot,4,35,33.5,256.0,0.5
angelo stiller,Defensive Midfield,Bundesliga,other,9,24,10.0,22.0,0.0
angus gunn,Goalkeeper,Premier League,ankle_foot,1,25,73.0,73.0,1.0
anis slimane,Central Midfield,Premier League,muscular,1,23,13.0,13.0,0.0
ansgar knauff,Right Winger,Bundesliga,other,5,23,17.0,64.0,0.2
ansu fati,Left Winger,La Liga,muscular,11,23,55.0,306.0,0.7272727272727273
ante budimir,Forward,La Liga,illness,6,32,16.0,39.0,0.3333333333333333
ante palaversa,Defensive Midfield,La Liga,knee,1,21,15.0,15.0,0.0
ante rebić,Left Winger,Serie A,muscular,12,32,12.5,51.0,0.16666666666666666
anthony briançon,Centre-Back,Ligue 1,knee,6,30,30.0,87.0,0.6666666666666666
anthony caci,Right-Back,Bundesliga,muscular,1,26,10.0,10.0,0.0
anthony gordon,Left Winger,Premier League,ankle_foot,8,24,10.0,25.0,0.0
anthony jung,Centre-Back,Bundesliga,muscular,2,33,5.5,6.0,0.0
anthony knockaert,Right Winger,Premier League,muscular,2,31,41.5,62.0,0.5
anthony limbombe,Left Winger,Ligue 1,muscular,1,26,173.0,173.0,1.0
anthony lopes,Goalkeeper,Ligue 1,illness,4,33,20.5,26.0,0.0
anthony losilla,Defensive Midfield,Bundesliga,other,3,39,8.0,9.0,0.0
anthony martial,Forward,Premier League,other,14,28,18.0,127.0,0.2857142857142857
anthony modeste,Forward,Bundesliga,back,10,35,32.0,89.0,0.6
anthony musaba,Right Winger,Ligue 1,other,1,21,7.0,7.0,0.0
anthony oyono,Right-Back,Serie A,ankle_foot,1,23,168.0,168.0,1.0
anthony partipilo,Right Winger,Serie A,ankle_foot,2,31,47.0,53.0,1.0
anthony roczen,Forward,Ligue 1,muscular,4,22,120.5,294.0,1.0
anthony rouault,Centre-Back,Bundesliga,head,8,24,21.0,43.0,0.25
anthony ujah,Forward,Bundesliga,knee,2,31,171.0,310.0,1.0
antoine bernede,Central Midfield,Serie A,knee,1,26,45.0,45.0,1.0
antoine griezmann,Second Striker,La Liga,muscular,7,33,25.0,47.0,0.2857142857142857
antoine hainaut,Right-Back,Serie A,muscular,1,22,31.0,31.0,1.0
antoine joujou,Left Winger,Ligue 1,ankle_foot,1,21,55.0,55.0,1.0
antoine makoumbou,Defensive Midfield,Serie A,knee,2,27,12.5,22.0,0.0
antoine mendy,Right-Back,Ligue 1,ankle_foot,5,21,22.0,102.0,0.4
